inConFeTa,tempFeTa,presFeTa,testVal,radInFeTa,radOutFeTa,heightFeTa,testVal_1,htTrCoInFeTa,htTrCoOutFeTa,waDensFeTa,htCapFeTa,testVal_2
1,318.15,3.39416566692867,NaN,20,20.5,33.8007697715559,NaN,NaN,NaN,0.00783,NaN,NaN
1,1,1,0,1,1,1,0,0,0,1,0,0
