diamPellet,testVal,maTrRes,voidFracMac,voidFracMic,testVal_1,pellDens,bulkDens,testVal_2,tempRefIso,henryC1,henryC2,qSatC1,qSatC2,bC1,bC2,KC1,KC2,aC1,aC2,kOneC1,kOneC2,kTwoC1,kTwoC2,kThrC1,kThrC2,kFouC1,kFouC2,kFivC1,kFivC2,kSixC1,kSixC2,qSatSiteOneC1,qSatSiteOneC2,qSatSiteTwoC1,qSatSiteTwoC2,bSiteOneC1,bSiteOneC2,bSiteTwoC1,bSiteTwoC2,nSiteOneC1,nSiteOneC2,nSiteTwoC1,nSiteTwoC2,testVal_3,ldfMtc1,ldfMtc2,testVal_4,htCapSol,testVal_5
0.04,NaN,1,NaN,NaN,NaN,0.001552,0.00081,NaN,318.15,0.111221166287422,0.203453352964797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,19.7,NaN,NaN,NaN
1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
