inConExTa,tempExTa,presExTa,testVal,radInExTa,radOutExTa,heightExTa,testVal_1,htTrCoInExTa,htTrCoOutExTa,waDensExTa,htCapExTa,testVal_2,presExTaSet,presExTaFull,valExTaFull,testVal_3
3,318.15,3.39416566692867,NaN,20,20.5,33.8007697715559,NaN,NaN,NaN,0.00783,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
