inConBed1,inConBed2,testVal,heightCol,radInCol,radOutCol,testVal_1,voidFracBed,massAds,testVal_2,presColHigh,presColHighSet,presColHighFull,presColLow,presColLowSet,presColLowFull,tempCol,testVal_3,htTrCoInCol,htTrCoOutCol,waDensCol,htCapCol,testVal_4
5,1,NaN,76.2,1.143,1.643,NaN,0.48,0.2524,NaN,3.085605152,NaN,NaN,0.476495815,NaN,NaN,318.15,NaN,NaN,NaN,0.00783,NaN,NaN
1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
