nComs,nLKs,sCom1,sCom2,testVal,molecWtC1,molecWtC2,testVal_1,isoStHtC1,isoStHtC2,htCapCpC1,htCapCpC2,htCapCvC1,htCapCvC2,compFacC1,compFacC2,testVal_2
2,1,O2,N2,NaN,32,28,NaN,NaN,NaN,29.371,29.129,21.057,20.815,1,1,NaN
1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0
