inConRaTa,tempRaTa,presRaTa,testVal,radInRaTa,radOutRaTa,heightRaTa,testVal_1,htTrCoInRaTa,htTrCoOutRaTa,waDensRaTa,htCapRaTa,testVal_2,presRaTaSet,presRaTaFull,valRaTaFull,testVal_3
4,318.15,3.085605152,NaN,20,20.5,33.8007697715559,NaN,NaN,NaN,0.00783,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
